PROLIFIC_PID,STUDY_ID,SESSION_ID,modo,registro_id,indice_asignacion,consentimiento,edad_18_mas,permiso_vigente,comprende_espanol,no_conduce_ahora,orden,simbolo_primero,velocidad_primera_kmh,velocidad_naranja_kmh,velocidad_platano_kmh,confianza_naranja,confianza_platano,tiempo_primera_s,tiempo_segunda_s,respuesta_abierta,inicio_utc,primera_render_utc,segunda_render_utc,fin_utc,origen_dato,version_app
,,,docente,SIM-000015,14,True,True,True,True,True,naranja_primero,naranja,90,90,70,52,92,9.436,6.316,La naranja parecía compacta y el plátano más ligero; fue una asociación intuitiva.,2026-09-02T09:38:00.000Z,2026-09-02T09:38:12.000Z,2026-09-02T09:38:22.686Z,2026-09-02T09:38:35.502Z,sintetico_docente,1.0.0-demo
,,,docente,SIM-000016,15,True,True,True,True,True,naranja_primero,naranja,110,110,90,57,63,3.819,5.229,Me guié por la forma y por el contraste entre ambos símbolos.,2026-09-02T09:45:00.000Z,2026-09-02T09:45:12.000Z,2026-09-02T09:45:17.069Z,2026-09-02T09:45:28.798Z,sintetico_docente,1.0.0-demo
,,,docente,SIM-000017,16,True,True,True,True,True,platano_primero,platano,90,90,90,81,63,5.98,10.759,Pensé en cómo se verían las siluetas desde lejos y comparé sus formas.,2026-09-02T09:52:00.000Z,2026-09-02T09:52:12.000Z,2026-09-02T09:52:19.230Z,2026-09-02T09:52:36.489Z,sintetico_docente,1.0.0-demo
,,,docente,SIM-000018,17,True,True,True,True,True,platano_primero,platano,50,90,50,87,54,9.899,4.061,Elegí categorías centrales porque imaginé una convención fácil de coordinar.,2026-09-02T09:59:00.000Z,2026-09-02T09:59:12.000Z,2026-09-02T09:59:23.149Z,2026-09-02T09:59:33.710Z,sintetico_docente,1.0.0-demo
,,,docente,SIM-000019,18,True,True,True,True,True,platano_primero,platano,70,110,70,60,84,11.948,4.078,Me guié por la forma y por el contraste entre ambos símbolos.,2026-09-02T10:06:00.000Z,2026-09-02T10:06:12.000Z,2026-09-02T10:06:25.198Z,2026-09-02T10:06:35.776Z,sintetico_docente,1.0.0-demo
,,,docente,SIM-000020,19,True,True,True,True,True,platano_primero,platano,50,90,50,46,83,9.105,4.662,Elegí categorías centrales porque imaginé una convención fácil de coordinar.,2026-09-02T10:13:00.000Z,2026-09-02T10:13:12.000Z,2026-09-02T10:13:22.355Z,2026-09-02T10:13:33.517Z,sintetico_docente,1.0.0-demo
,,,docente,SIM-000021,20,True,True,True,True,True,platano_primero,platano,90,110,90,65,58,3.877,13.483,Me guié por la forma y por el contraste entre ambos símbolos.,2026-09-02T10:20:00.000Z,2026-09-02T10:20:12.000Z,2026-09-02T10:20:17.127Z,2026-09-02T10:20:37.110Z,sintetico_docente,1.0.0-demo
,,,docente,SIM-000022,21,True,True,True,True,True,naranja_primero,naranja,70,70,50,71,68,10.339,7.671,"Comparé peso aparente y forma, sin asumir que existiera una respuesta correcta.",2026-09-02T10:27:00.000Z,2026-09-02T10:27:12.000Z,2026-09-02T10:27:23.589Z,2026-09-02T10:27:37.760Z,sintetico_docente,1.0.0-demo
,,,docente,SIM-000023,22,True,True,True,True,True,platano_primero,platano,70,90,70,59,75,9.12,15.888,Pensé en cómo se verían las siluetas desde lejos y comparé sus formas.,2026-09-02T10:34:00.000Z,2026-09-02T10:34:12.000Z,2026-09-02T10:34:22.370Z,2026-09-02T10:34:44.758Z,sintetico_docente,1.0.0-demo
,,,docente,SIM-000024,23,True,True,True,True,True,naranja_primero,naranja,90,90,90,95,70,7.844,6.844,Intenté escoger opciones que otra persona pudiera considerar puntos focales.,2026-09-02T10:41:00.000Z,2026-09-02T10:41:12.000Z,2026-09-02T10:41:21.094Z,2026-09-02T10:41:34.438Z,sintetico_docente,1.0.0-demo
,,,docente,SIM-000025,24,True,True,True,True,True,naranja_primero,naranja,90,90,50,80,76,3.713,7.943,Pensé en cómo se verían las siluetas desde lejos y comparé sus formas.,2026-09-02T10:48:00.000Z,2026-09-02T10:48:12.000Z,2026-09-02T10:48:16.963Z,2026-09-02T10:48:31.406Z,sintetico_docente,1.0.0-demo
,,,docente,SIM-000026,25,True,True,True,True,True,platano_primero,platano,70,110,70,51,58,7.954,6.673,Usé una intuición visual y mantuve una diferencia moderada entre las señales.,2026-09-02T10:55:00.000Z,2026-09-02T10:55:12.000Z,2026-09-02T10:55:21.204Z,2026-09-02T10:55:34.377Z,sintetico_docente,1.0.0-demo
,,,docente,SIM-000027,26,True,True,True,True,True,naranja_primero,naranja,70,70,50,77,71,10.036,5.061,Usé una intuición visual y mantuve una diferencia moderada entre las señales.,2026-09-02T11:02:00.000Z,2026-09-02T11:02:12.000Z,2026-09-02T11:02:23.286Z,2026-09-02T11:02:34.847Z,sintetico_docente,1.0.0-demo
,,,docente,SIM-000028,27,True,True,True,True,True,platano_primero,platano,70,110,70,62,51,5.809,3.475,Pensé en cómo se verían las siluetas desde lejos y comparé sus formas.,2026-09-02T11:09:00.000Z,2026-09-02T11:09:12.000Z,2026-09-02T11:09:19.059Z,2026-09-02T11:09:29.034Z,sintetico_docente,1.0.0-demo
,,,docente,SIM-000029,28,True,True,True,True,True,naranja_primero,naranja,70,70,50,87,93,10.331,6.291,La forma redonda me sugirió una velocidad estable y la silueta alargada una menor.,2026-09-02T11:16:00.000Z,2026-09-02T11:16:12.000Z,2026-09-02T11:16:23.581Z,2026-09-02T11:16:36.372Z,sintetico_docente,1.0.0-demo
,,,docente,SIM-000030,29,True,True,True,True,True,platano_primero,platano,70,90,70,67,57,1.05,6.231,La curva de un símbolo y la geometría del otro orientaron mi elección.,2026-09-02T11:23:00.000Z,2026-09-02T11:23:12.000Z,2026-09-02T11:23:14.300Z,2026-09-02T11:23:27.031Z,sintetico_docente,1.0.0-demo
,,,docente,SIM-000031,30,True,True,True,True,True,platano_primero,platano,70,90,70,87,63,14.251,5.367,La naranja parecía compacta y el plátano más ligero; fue una asociación intuitiva.,2026-09-02T11:30:00.000Z,2026-09-02T11:30:12.000Z,2026-09-02T11:30:27.501Z,2026-09-02T11:30:39.368Z,sintetico_docente,1.0.0-demo
,,,docente,SIM-000032,31,True,True,True,True,True,naranja_primero,naranja,90,90,50,74,66,9.521,6.416,"Comparé peso aparente y forma, sin asumir que existiera una respuesta correcta.",2026-09-02T11:37:00.000Z,2026-09-02T11:37:12.000Z,2026-09-02T11:37:22.771Z,2026-09-02T11:37:35.687Z,sintetico_docente,1.0.0-demo
,,,docente,SIM-000033,32,True,True,True,True,True,naranja_primero,naranja,110,110,70,82,69,3.811,5.202,La naranja parecía compacta y el plátano más ligero; fue una asociación intuitiva.,2026-09-02T11:44:00.000Z,2026-09-02T11:44:12.000Z,2026-09-02T11:44:17.061Z,2026-09-02T11:44:28.763Z,sintetico_docente,1.0.0-demo
,,,docente,SIM-000034,33,True,True,True,True,True,platano_primero,platano,70,110,70,64,71,7.104,9.391,Intenté escoger opciones que otra persona pudiera considerar puntos focales.,2026-09-02T11:51:00.000Z,2026-09-02T11:51:12.000Z,2026-09-02T11:51:20.354Z,2026-09-02T11:51:36.245Z,sintetico_docente,1.0.0-demo
,,,docente,SIM-000035,34,True,True,True,True,True,naranja_primero,naranja,110,110,70,76,92,5.629,9.309,Pensé en cómo se verían las siluetas desde lejos y comparé sus formas.,2026-09-02T11:58:00.000Z,2026-09-02T11:58:12.000Z,2026-09-02T11:58:18.879Z,2026-09-02T11:58:34.688Z,sintetico_docente,1.0.0-demo
,,,docente,SIM-000036,35,True,True,True,True,True,naranja_primero,naranja,90,90,70,74,78,4.161,9.308,La silueta redonda me pareció más focal; para la otra escogí una categoría cercana.,2026-09-02T12:05:00.000Z,2026-09-02T12:05:12.000Z,2026-09-02T12:05:17.411Z,2026-09-02T12:05:33.219Z,sintetico_docente,1.0.0-demo
,,,docente,SIM-000037,36,True,True,True,True,True,platano_primero,platano,70,90,70,81,78,10.774,7.236,Pensé en cómo se verían las siluetas desde lejos y comparé sus formas.,2026-09-02T12:12:00.000Z,2026-09-02T12:12:12.000Z,2026-09-02T12:12:24.024Z,2026-09-02T12:12:37.760Z,sintetico_docente,1.0.0-demo
,,,docente,SIM-000038,37,True,True,True,True,True,platano_primero,platano,50,70,50,80,41,8.964,9.165,Elegí categorías centrales porque imaginé una convención fácil de coordinar.,2026-09-02T12:19:00.000Z,2026-09-02T12:19:12.000Z,2026-09-02T12:19:22.214Z,2026-09-02T12:19:37.879Z,sintetico_docente,1.0.0-demo
,,,docente,SIM-000039,38,True,True,True,True,True,naranja_primero,naranja,110,110,50,91,61,8.045,10.1,La curva de un símbolo y la geometría del otro orientaron mi elección.,2026-09-02T12:26:00.000Z,2026-09-02T12:26:12.000Z,2026-09-02T12:26:21.295Z,2026-09-02T12:26:37.895Z,sintetico_docente,1.0.0-demo
,,,docente,SIM-000040,39,True,True,True,True,True,platano_primero,platano,50,90,50,58,75,15.12,3.394,Intenté escoger opciones que otra persona pudiera considerar puntos focales.,2026-09-02T12:33:00.000Z,2026-09-02T12:33:12.000Z,2026-09-02T12:33:28.370Z,2026-09-02T12:33:38.264Z,sintetico_docente,1.0.0-demo
,,,docente,SIM-000041,40,True,True,True,True,True,platano_primero,platano,50,90,50,83,63,4.257,7.034,Me guié por la forma y por el contraste entre ambos símbolos.,2026-09-02T12:40:00.000Z,2026-09-02T12:40:12.000Z,2026-09-02T12:40:17.507Z,2026-09-02T12:40:31.041Z,sintetico_docente,1.0.0-demo
,,,docente,SIM-000042,41,True,True,True,True,True,platano_primero,platano,50,90,50,64,67,13.077,8.896,"Comparé peso aparente y forma, sin asumir que existiera una respuesta correcta.",2026-09-02T12:47:00.000Z,2026-09-02T12:47:12.000Z,2026-09-02T12:47:26.327Z,2026-09-02T12:47:41.723Z,sintetico_docente,1.0.0-demo
,,,docente,SIM-000043,42,True,True,True,True,True,naranja_primero,naranja,70,70,30,83,82,2.714,8.716,Me basé en la geometría de las señales y en una asociación espontánea.,2026-09-02T12:54:00.000Z,2026-09-02T12:54:12.000Z,2026-09-02T12:54:15.964Z,2026-09-02T12:54:31.180Z,sintetico_docente,1.0.0-demo
,,,docente,SIM-000044,43,True,True,True,True,True,platano_primero,platano,70,90,70,69,66,4.975,3.548,La naranja parecía compacta y el plátano más ligero; fue una asociación intuitiva.,2026-09-02T13:01:00.000Z,2026-09-02T13:01:12.000Z,2026-09-02T13:01:18.225Z,2026-09-02T13:01:28.273Z,sintetico_docente,1.0.0-demo
,,,docente,SIM-000045,44,True,True,True,True,True,naranja_primero,naranja,70,70,70,81,73,14.724,3.46,La forma redonda me sugirió una velocidad estable y la silueta alargada una menor.,2026-09-02T13:08:00.000Z,2026-09-02T13:08:12.000Z,2026-09-02T13:08:27.974Z,2026-09-02T13:08:37.934Z,sintetico_docente,1.0.0-demo
,,,docente,SIM-000046,45,True,True,True,True,True,naranja_primero,naranja,90,90,70,57,57,3.704,11.639,Me guié por la forma y por el contraste entre ambos símbolos.,2026-09-02T13:15:00.000Z,2026-09-02T13:15:12.000Z,2026-09-02T13:15:16.954Z,2026-09-02T13:15:35.093Z,sintetico_docente,1.0.0-demo
,,,docente,SIM-000047,46,True,True,True,True,True,naranja_primero,naranja,110,110,90,40,65,8.19,6.954,Usé una intuición visual y mantuve una diferencia moderada entre las señales.,2026-09-02T13:22:00.000Z,2026-09-02T13:22:12.000Z,2026-09-02T13:22:21.440Z,2026-09-02T13:22:34.894Z,sintetico_docente,1.0.0-demo
,,,docente,SIM-000048,47,True,True,True,True,True,platano_primero,platano,50,90,50,55,73,5.98,8.598,Pensé en cómo se verían las siluetas desde lejos y comparé sus formas.,2026-09-02T13:29:00.000Z,2026-09-02T13:29:12.000Z,2026-09-02T13:29:19.230Z,2026-09-02T13:29:34.328Z,sintetico_docente,1.0.0-demo
,,,docente,SIM-000049,48,True,True,True,True,True,naranja_primero,naranja,90,90,50,93,58,4.963,5.932,Me basé en la geometría de las señales y en una asociación espontánea.,2026-09-02T13:36:00.000Z,2026-09-02T13:36:12.000Z,2026-09-02T13:36:18.213Z,2026-09-02T13:36:30.645Z,sintetico_docente,1.0.0-demo
,,,docente,SIM-000050,49,True,True,True,True,True,platano_primero,platano,90,110,90,72,62,8.614,5.503,Me basé en la geometría de las señales y en una asociación espontánea.,2026-09-02T13:43:00.000Z,2026-09-02T13:43:12.000Z,2026-09-02T13:43:21.864Z,2026-09-02T13:43:33.867Z,sintetico_docente,1.0.0-demo
,,,docente,SIM-000051,50,True,True,True,True,True,platano_primero,platano,70,90,70,58,70,7.044,8.894,Elegí categorías centrales porque imaginé una convención fácil de coordinar.,2026-09-02T13:50:00.000Z,2026-09-02T13:50:12.000Z,2026-09-02T13:50:20.294Z,2026-09-02T13:50:35.688Z,sintetico_docente,1.0.0-demo
,,,docente,SIM-000052,51,True,True,True,True,True,naranja_primero,naranja,110,110,70,70,57,5.92,6.024,La curva de un símbolo y la geometría del otro orientaron mi elección.,2026-09-02T13:57:00.000Z,2026-09-02T13:57:12.000Z,2026-09-02T13:57:19.170Z,2026-09-02T13:57:31.694Z,sintetico_docente,1.0.0-demo
,,,docente,SIM-000053,52,True,True,True,True,True,platano_primero,platano,90,110,90,56,75,5.904,5.99,Me basé en la geometría de las señales y en una asociación espontánea.,2026-09-02T14:04:00.000Z,2026-09-02T14:04:12.000Z,2026-09-02T14:04:19.154Z,2026-09-02T14:04:31.644Z,sintetico_docente,1.0.0-demo
,,,docente,SIM-000054,53,True,True,True,True,True,naranja_primero,naranja,90,90,50,71,54,6.895,15.877,Me guié por la forma y por el contraste entre ambos símbolos.,2026-09-02T14:11:00.000Z,2026-09-02T14:11:12.000Z,2026-09-02T14:11:20.145Z,2026-09-02T14:11:42.522Z,sintetico_docente,1.0.0-demo
,,,docente,SIM-000055,54,True,True,True,True,True,platano_primero,platano,70,90,70,74,55,5.09,11.7,Me basé en la geometría de las señales y en una asociación espontánea.,2026-09-02T14:18:00.000Z,2026-09-02T14:18:12.000Z,2026-09-02T14:18:18.340Z,2026-09-02T14:18:36.540Z,sintetico_docente,1.0.0-demo
,,,docente,SIM-000056,55,True,True,True,True,True,platano_primero,platano,50,70,50,64,83,8.354,5.606,Me guié por la forma y por el contraste entre ambos símbolos.,2026-09-02T14:25:00.000Z,2026-09-02T14:25:12.000Z,2026-09-02T14:25:21.604Z,2026-09-02T14:25:33.710Z,sintetico_docente,1.0.0-demo
,,,docente,SIM-000057,56,True,True,True,True,True,naranja_primero,naranja,110,110,90,75,82,8.767,12.283,La curva de un símbolo y la geometría del otro orientaron mi elección.,2026-09-02T14:32:00.000Z,2026-09-02T14:32:12.000Z,2026-09-02T14:32:22.017Z,2026-09-02T14:32:40.800Z,sintetico_docente,1.0.0-demo
,,,docente,SIM-000058,57,True,True,True,True,True,naranja_primero,naranja,90,90,70,70,86,6.011,10.65,Fue una elección por contraste visual entre una figura compacta y otra alargada.,2026-09-02T14:39:00.000Z,2026-09-02T14:39:12.000Z,2026-09-02T14:39:19.261Z,2026-09-02T14:39:36.411Z,sintetico_docente,1.0.0-demo
,,,docente,SIM-000059,58,True,True,True,True,True,naranja_primero,naranja,90,90,90,78,71,4.358,6.726,Me guié por la forma y por el contraste entre ambos símbolos.,2026-09-02T14:46:00.000Z,2026-09-02T14:46:12.000Z,2026-09-02T14:46:17.608Z,2026-09-02T14:46:30.834Z,sintetico_docente,1.0.0-demo
,,,docente,SIM-000060,59,True,True,True,True,True,platano_primero,platano,70,110,70,98,87,7.827,9.289,Pensé en cómo se verían las siluetas desde lejos y comparé sus formas.,2026-09-02T14:53:00.000Z,2026-09-02T14:53:12.000Z,2026-09-02T14:53:21.077Z,2026-09-02T14:53:36.866Z,sintetico_docente,1.0.0-demo
,,,docente,SIM-000061,60,True,True,True,True,True,platano_primero,platano,30,90,30,71,57,4.275,9.399,Intenté escoger opciones que otra persona pudiera considerar puntos focales.,2026-09-02T15:00:00.000Z,2026-09-02T15:00:12.000Z,2026-09-02T15:00:17.525Z,2026-09-02T15:00:33.424Z,sintetico_docente,1.0.0-demo
,,,docente,SIM-000062,61,True,True,True,True,True,naranja_primero,naranja,110,110,90,59,72,8.783,5.181,La silueta redonda me pareció más focal; para la otra escogí una categoría cercana.,2026-09-02T15:07:00.000Z,2026-09-02T15:07:12.000Z,2026-09-02T15:07:22.033Z,2026-09-02T15:07:33.714Z,sintetico_docente,1.0.0-demo
,,,docente,SIM-000063,62,True,True,True,True,True,platano_primero,platano,70,110,70,48,59,9.527,7.737,"Comparé peso aparente y forma, sin asumir que existiera una respuesta correcta.",2026-09-02T15:14:00.000Z,2026-09-02T15:14:12.000Z,2026-09-02T15:14:22.777Z,2026-09-02T15:14:37.014Z,sintetico_docente,1.0.0-demo
,,,docente,SIM-000064,63,True,True,True,True,True,platano_primero,platano,90,90,90,70,85,9.473,8.804,Intenté escoger opciones que otra persona pudiera considerar puntos focales.,2026-09-02T15:21:00.000Z,2026-09-02T15:21:12.000Z,2026-09-02T15:21:22.723Z,2026-09-02T15:21:38.027Z,sintetico_docente,1.0.0-demo
,,,docente,SIM-000065,64,True,True,True,True,True,platano_primero,platano,70,90,70,69,73,6.671,7.176,Intenté escoger opciones que otra persona pudiera considerar puntos focales.,2026-09-02T15:28:00.000Z,2026-09-02T15:28:12.000Z,2026-09-02T15:28:19.921Z,2026-09-02T15:28:33.597Z,sintetico_docente,1.0.0-demo
,,,docente,SIM-000066,65,True,True,True,True,True,naranja_primero,naranja,90,90,70,70,86,8.726,9.951,La curva de un símbolo y la geometría del otro orientaron mi elección.,2026-09-02T15:35:00.000Z,2026-09-02T15:35:12.000Z,2026-09-02T15:35:21.976Z,2026-09-02T15:35:38.427Z,sintetico_docente,1.0.0-demo
,,,docente,SIM-000067,66,True,True,True,True,True,platano_primero,platano,50,70,50,60,81,5.832,9.371,Me guié por la forma y por el contraste entre ambos símbolos.,2026-09-02T15:42:00.000Z,2026-09-02T15:42:12.000Z,2026-09-02T15:42:19.082Z,2026-09-02T15:42:34.953Z,sintetico_docente,1.0.0-demo
,,,docente,SIM-000068,67,True,True,True,True,True,naranja_primero,naranja,90,90,50,78,83,3.935,6.217,Pensé en cómo se verían las siluetas desde lejos y comparé sus formas.,2026-09-02T15:49:00.000Z,2026-09-02T15:49:12.000Z,2026-09-02T15:49:17.185Z,2026-09-02T15:49:29.902Z,sintetico_docente,1.0.0-demo
,,,docente,SIM-000069,68,True,True,True,True,True,naranja_primero,naranja,70,70,30,66,91,7.71,3.133,La forma redonda me sugirió una velocidad estable y la silueta alargada una menor.,2026-09-02T15:56:00.000Z,2026-09-02T15:56:12.000Z,2026-09-02T15:56:20.960Z,2026-09-02T15:56:30.593Z,sintetico_docente,1.0.0-demo
,,,docente,SIM-000070,69,True,True,True,True,True,naranja_primero,naranja,90,90,70,86,69,5.403,7.511,Usé una intuición visual y mantuve una diferencia moderada entre las señales.,2026-09-02T16:03:00.000Z,2026-09-02T16:03:12.000Z,2026-09-02T16:03:18.653Z,2026-09-02T16:03:32.664Z,sintetico_docente,1.0.0-demo
,,,docente,SIM-000071,70,True,True,True,True,True,platano_primero,platano,90,110,90,68,74,5.326,9.474,La curva de un símbolo y la geometría del otro orientaron mi elección.,2026-09-02T16:10:00.000Z,2026-09-02T16:10:12.000Z,2026-09-02T16:10:18.576Z,2026-09-02T16:10:34.550Z,sintetico_docente,1.0.0-demo
,,,docente,SIM-000072,71,True,True,True,True,True,naranja_primero,naranja,90,90,70,97,69,10.109,3.561,Elegí categorías centrales porque imaginé una convención fácil de coordinar.,2026-09-02T16:17:00.000Z,2026-09-02T16:17:12.000Z,2026-09-02T16:17:23.359Z,2026-09-02T16:17:33.420Z,sintetico_docente,1.0.0-demo
,,,docente,SIM-000073,72,True,True,True,True,True,platano_primero,platano,110,110,110,67,71,6.252,5.598,Me guié por la forma y por el contraste entre ambos símbolos.,2026-09-02T16:24:00.000Z,2026-09-02T16:24:12.000Z,2026-09-02T16:24:19.502Z,2026-09-02T16:24:31.600Z,sintetico_docente,1.0.0-demo
,,,docente,SIM-000074,73,True,True,True,True,True,platano_primero,platano,50,110,50,71,64,5.627,1.123,Me guié por la forma y por el contraste entre ambos símbolos.,2026-09-02T16:31:00.000Z,2026-09-02T16:31:12.000Z,2026-09-02T16:31:18.877Z,2026-09-02T16:31:26.500Z,sintetico_docente,1.0.0-demo
,,,docente,SIM-000075,74,True,True,True,True,True,platano_primero,platano,70,70,70,77,86,1.196,8.362,La silueta redonda me pareció más focal; para la otra escogí una categoría cercana.,2026-09-02T16:38:00.000Z,2026-09-02T16:38:12.000Z,2026-09-02T16:38:14.446Z,2026-09-02T16:38:29.308Z,sintetico_docente,1.0.0-demo
,,,docente,SIM-000076,75,True,True,True,True,True,naranja_primero,naranja,90,90,70,53,67,9.765,10.533,La naranja parecía compacta y el plátano más ligero; fue una asociación intuitiva.,2026-09-02T16:45:00.000Z,2026-09-02T16:45:12.000Z,2026-09-02T16:45:23.015Z,2026-09-02T16:45:40.048Z,sintetico_docente,1.0.0-demo
,,,docente,SIM-000077,76,True,True,True,True,True,naranja_primero,naranja,90,90,70,61,56,6.517,5.659,Fue una elección por contraste visual entre una figura compacta y otra alargada.,2026-09-02T16:52:00.000Z,2026-09-02T16:52:12.000Z,2026-09-02T16:52:19.767Z,2026-09-02T16:52:31.926Z,sintetico_docente,1.0.0-demo
,,,docente,SIM-000078,77,True,True,True,True,True,naranja_primero,naranja,90,90,70,69,75,10.572,6.329,Pensé en cómo se verían las siluetas desde lejos y comparé sus formas.,2026-09-02T16:59:00.000Z,2026-09-02T16:59:12.000Z,2026-09-02T16:59:23.822Z,2026-09-02T16:59:36.651Z,sintetico_docente,1.0.0-demo
,,,docente,SIM-000079,78,True,True,True,True,True,platano_primero,platano,50,90,50,53,50,10.06,5.253,La forma redonda me sugirió una velocidad estable y la silueta alargada una menor.,2026-09-02T17:06:00.000Z,2026-09-02T17:06:12.000Z,2026-09-02T17:06:23.310Z,2026-09-02T17:06:35.063Z,sintetico_docente,1.0.0-demo
,,,docente,SIM-000080,79,True,True,True,True,True,naranja_primero,naranja,90,90,70,59,44,5.138,9.844,Pensé en cómo se verían las siluetas desde lejos y comparé sus formas.,2026-09-02T17:13:00.000Z,2026-09-02T17:13:12.000Z,2026-09-02T17:13:18.388Z,2026-09-02T17:13:34.732Z,sintetico_docente,1.0.0-demo
,,,docente,SIM-000081,80,True,True,True,True,True,platano_primero,platano,70,90,70,80,75,9.609,3.654,La curva de un símbolo y la geometría del otro orientaron mi elección.,2026-09-02T17:20:00.000Z,2026-09-02T17:20:12.000Z,2026-09-02T17:20:22.859Z,2026-09-02T17:20:33.013Z,sintetico_docente,1.0.0-demo
