registro_id,orden,simbolo_primero,velocidad_primera_kmh,velocidad_naranja_kmh,velocidad_platano_kmh,confianza_naranja,confianza_platano,tiempo_primera_s,tiempo_segunda_s,diferencia_platano_menos_naranja,categoria_motivo,incluida,motivo_exclusion,origen_dato,version_app
SIM-000026,platano_primero,platano,70,110,70,51,58,7.954,6.673,-40,"[""azar""]",true,,sintetico_docente,1.0.0-demo
SIM-000027,naranja_primero,naranja,70,70,50,77,71,10.036,5.061,-20,"[""azar""]",true,,sintetico_docente,1.0.0-demo
SIM-000028,platano_primero,platano,70,110,70,62,51,5.809,3.475,-40,"[""forma"",""contraste""]",true,,sintetico_docente,1.0.0-demo
SIM-000029,naranja_primero,naranja,70,70,50,87,93,10.331,6.291,-20,"[""forma""]",true,,sintetico_docente,1.0.0-demo
SIM-000030,platano_primero,platano,70,90,70,67,57,1.050,6.231,-20,"[""forma""]",false,tiempo_primera_menor_2,sintetico_docente,1.0.0-demo
SIM-000031,platano_primero,platano,70,90,70,87,63,14.251,5.367,-20,"[""fisica""]",true,,sintetico_docente,1.0.0-demo
SIM-000032,naranja_primero,naranja,90,90,50,74,66,9.521,6.416,-40,"[""forma"",""fisica"",""contraste""]",true,,sintetico_docente,1.0.0-demo
SIM-000033,naranja_primero,naranja,110,110,70,82,69,3.811,5.202,-40,"[""fisica""]",true,,sintetico_docente,1.0.0-demo
SIM-000034,platano_primero,platano,70,110,70,64,71,7.104,9.391,-40,"[""sin_clasificar""]",true,,sintetico_docente,1.0.0-demo
SIM-000035,naranja_primero,naranja,110,110,70,76,92,5.629,9.309,-40,"[""forma"",""contraste""]",true,,sintetico_docente,1.0.0-demo
SIM-000036,naranja_primero,naranja,90,90,70,74,78,4.161,9.308,-20,"[""forma""]",true,,sintetico_docente,1.0.0-demo
SIM-000037,platano_primero,platano,70,90,70,81,78,10.774,7.236,-20,"[""forma"",""contraste""]",true,,sintetico_docente,1.0.0-demo
SIM-000038,platano_primero,platano,50,70,50,80,41,8.964,9.165,-20,"[""sin_clasificar""]",true,,sintetico_docente,1.0.0-demo
SIM-000039,naranja_primero,naranja,110,110,50,91,61,8.045,10.100,-60,"[""forma""]",true,,sintetico_docente,1.0.0-demo
SIM-000040,platano_primero,platano,50,90,50,58,75,15.120,3.394,-40,"[""sin_clasificar""]",true,,sintetico_docente,1.0.0-demo
SIM-000041,platano_primero,platano,50,90,50,83,63,4.257,7.034,-40,"[""forma"",""contraste""]",true,,sintetico_docente,1.0.0-demo
SIM-000042,platano_primero,platano,50,90,50,64,67,13.077,8.896,-40,"[""forma"",""fisica"",""contraste""]",true,,sintetico_docente,1.0.0-demo
SIM-000043,naranja_primero,naranja,70,70,30,83,82,2.714,8.716,-40,"[""forma""]",true,,sintetico_docente,1.0.0-demo
SIM-000044,platano_primero,platano,70,90,70,69,66,4.975,3.548,-20,"[""fisica""]",true,,sintetico_docente,1.0.0-demo
SIM-000045,naranja_primero,naranja,70,70,70,81,73,14.724,3.460,0,"[""forma""]",true,,sintetico_docente,1.0.0-demo
SIM-000046,naranja_primero,naranja,90,90,70,57,57,3.704,11.639,-20,"[""forma"",""contraste""]",true,,sintetico_docente,1.0.0-demo
SIM-000047,naranja_primero,naranja,110,110,90,40,65,8.190,6.954,-20,"[""azar""]",true,,sintetico_docente,1.0.0-demo
SIM-000048,platano_primero,platano,50,90,50,55,73,5.980,8.598,-40,"[""forma"",""contraste""]",true,,sintetico_docente,1.0.0-demo
SIM-000049,naranja_primero,naranja,90,90,50,93,58,4.963,5.932,-40,"[""forma""]",true,,sintetico_docente,1.0.0-demo
SIM-000050,platano_primero,platano,90,110,90,72,62,8.614,5.503,-20,"[""forma""]",true,,sintetico_docente,1.0.0-demo
SIM-000051,platano_primero,platano,70,90,70,58,70,7.044,8.894,-20,"[""sin_clasificar""]",true,,sintetico_docente,1.0.0-demo
SIM-000052,naranja_primero,naranja,110,110,70,70,57,5.920,6.024,-40,"[""forma""]",true,,sintetico_docente,1.0.0-demo
SIM-000053,platano_primero,platano,90,110,90,56,75,5.904,5.990,-20,"[""forma""]",true,,sintetico_docente,1.0.0-demo
SIM-000054,naranja_primero,naranja,90,90,50,71,54,6.895,15.877,-40,"[""forma"",""contraste""]",true,,sintetico_docente,1.0.0-demo
SIM-000055,platano_primero,platano,70,90,70,74,55,5.090,11.700,-20,"[""forma""]",true,,sintetico_docente,1.0.0-demo
SIM-000056,platano_primero,platano,50,70,50,64,83,8.354,5.606,-20,"[""forma"",""contraste""]",true,,sintetico_docente,1.0.0-demo
SIM-000057,naranja_primero,naranja,110,110,90,75,82,8.767,12.283,-20,"[""forma""]",true,,sintetico_docente,1.0.0-demo
SIM-000058,naranja_primero,naranja,90,90,70,70,86,6.011,10.650,-20,"[""forma"",""contraste""]",true,,sintetico_docente,1.0.0-demo
SIM-000059,naranja_primero,naranja,90,90,90,78,71,4.358,6.726,0,"[""forma"",""contraste""]",true,,sintetico_docente,1.0.0-demo
SIM-000060,platano_primero,platano,70,110,70,98,87,7.827,9.289,-40,"[""forma"",""contraste""]",true,,sintetico_docente,1.0.0-demo
SIM-000061,platano_primero,platano,30,90,30,71,57,4.275,9.399,-60,"[""sin_clasificar""]",true,,sintetico_docente,1.0.0-demo
SIM-000062,naranja_primero,naranja,110,110,90,59,72,8.783,5.181,-20,"[""forma""]",true,,sintetico_docente,1.0.0-demo
SIM-000063,platano_primero,platano,70,110,70,48,59,9.527,7.737,-40,"[""forma"",""fisica"",""contraste""]",true,,sintetico_docente,1.0.0-demo
SIM-000064,platano_primero,platano,90,90,90,70,85,9.473,8.804,0,"[""sin_clasificar""]",true,,sintetico_docente,1.0.0-demo
SIM-000065,platano_primero,platano,70,90,70,69,73,6.671,7.176,-20,"[""sin_clasificar""]",true,,sintetico_docente,1.0.0-demo
SIM-000066,naranja_primero,naranja,90,90,70,70,86,8.726,9.951,-20,"[""forma""]",true,,sintetico_docente,1.0.0-demo
SIM-000067,platano_primero,platano,50,70,50,60,81,5.832,9.371,-20,"[""forma"",""contraste""]",true,,sintetico_docente,1.0.0-demo
SIM-000068,naranja_primero,naranja,90,90,50,78,83,3.935,6.217,-40,"[""forma"",""contraste""]",true,,sintetico_docente,1.0.0-demo
SIM-000069,naranja_primero,naranja,70,70,30,66,91,7.710,3.133,-40,"[""forma""]",true,,sintetico_docente,1.0.0-demo
SIM-000070,naranja_primero,naranja,90,90,70,86,69,5.403,7.511,-20,"[""azar""]",true,,sintetico_docente,1.0.0-demo
SIM-000071,platano_primero,platano,90,110,90,68,74,5.326,9.474,-20,"[""forma""]",true,,sintetico_docente,1.0.0-demo
SIM-000072,naranja_primero,naranja,90,90,70,97,69,10.109,3.561,-20,"[""sin_clasificar""]",true,,sintetico_docente,1.0.0-demo
SIM-000073,platano_primero,platano,110,110,110,67,71,6.252,5.598,0,"[""forma"",""contraste""]",true,,sintetico_docente,1.0.0-demo
SIM-000074,platano_primero,platano,50,110,50,71,64,5.627,1.123,-60,"[""forma"",""contraste""]",false,tiempo_segunda_menor_2,sintetico_docente,1.0.0-demo
SIM-000075,platano_primero,platano,70,70,70,77,86,1.196,8.362,0,"[""forma""]",false,tiempo_primera_menor_2,sintetico_docente,1.0.0-demo
SIM-000076,naranja_primero,naranja,90,90,70,53,67,9.765,10.533,-20,"[""fisica""]",true,,sintetico_docente,1.0.0-demo
SIM-000077,naranja_primero,naranja,90,90,70,61,56,6.517,5.659,-20,"[""forma"",""contraste""]",true,,sintetico_docente,1.0.0-demo
SIM-000078,naranja_primero,naranja,90,90,70,69,75,10.572,6.329,-20,"[""forma"",""contraste""]",true,,sintetico_docente,1.0.0-demo
SIM-000079,platano_primero,platano,50,90,50,53,50,10.060,5.253,-40,"[""forma""]",true,,sintetico_docente,1.0.0-demo
SIM-000080,naranja_primero,naranja,90,90,70,59,44,5.138,9.844,-20,"[""forma"",""contraste""]",true,,sintetico_docente,1.0.0-demo
SIM-000081,platano_primero,platano,70,90,70,80,75,9.609,3.654,-20,"[""forma""]",true,,sintetico_docente,1.0.0-demo
SIM-000082,naranja_primero,naranja,90,90,90,64,64,6.073,12.219,0,"[""forma"",""contraste""]",true,,sintetico_docente,1.0.0-demo
SIM-000083,platano_primero,platano,70,90,70,75,58,11.646,9.865,-20,"[""forma"",""fisica"",""contraste""]",true,,sintetico_docente,1.0.0-demo
SIM-000084,platano_primero,platano,70,90,70,65,75,8.498,6.149,-20,"[""sin_clasificar""]",true,,sintetico_docente,1.0.0-demo
SIM-000085,naranja_primero,naranja,70,70,30,78,58,9.382,8.793,-40,"[""forma""]",true,,sintetico_docente,1.0.0-demo
SIM-000086,platano_primero,platano,50,70,50,70,56,9.401,6.290,-20,"[""sin_clasificar""]",true,,sintetico_docente,1.0.0-demo
SIM-000087,platano_primero,platano,90,90,90,67,68,8.697,6.534,0,"[""forma""]",true,,sintetico_docente,1.0.0-demo
SIM-000088,naranja_primero,naranja,70,70,50,81,94,3.078,9.501,-20,"[""forma""]",true,,sintetico_docente,1.0.0-demo
SIM-000089,naranja_primero,naranja,90,90,50,64,71,12.266,4.271,-40,"[""forma""]",true,,sintetico_docente,1.0.0-demo
SIM-000090,naranja_primero,naranja,70,70,50,59,75,6.909,7.594,-20,"[""forma""]",true,,sintetico_docente,1.0.0-demo
SIM-000091,naranja_primero,naranja,70,70,70,68,81,8.123,15.010,0,"[""forma""]",true,,sintetico_docente,1.0.0-demo
SIM-000092,naranja_primero,naranja,70,70,30,83,61,9.165,6.200,-40,"[""sin_clasificar""]",true,,sintetico_docente,1.0.0-demo
SIM-000093,platano_primero,platano,110,110,110,67,80,9.890,6.940,0,"[""forma""]",true,,sintetico_docente,1.0.0-demo
SIM-000094,naranja_primero,naranja,70,70,50,67,58,1.050,6.240,-20,"[""forma"",""contraste""]",false,tiempo_primera_menor_2,sintetico_docente,1.0.0-demo
SIM-000095,naranja_primero,naranja,90,90,50,67,72,7.593,4.413,-40,"[""forma""]",true,,sintetico_docente,1.0.0-demo
SIM-000096,naranja_primero,naranja,70,70,70,91,51,6.951,13.570,0,"[""sin_clasificar""]",true,,sintetico_docente,1.0.0-demo
SIM-000097,platano_primero,platano,90,70,90,62,94,6.415,7.102,20,"[""forma"",""contraste""]",true,,sintetico_docente,1.0.0-demo
SIM-000098,platano_primero,platano,70,110,70,64,73,9.443,6.175,-40,"[""sin_clasificar""]",true,,sintetico_docente,1.0.0-demo
SIM-000099,platano_primero,platano,50,90,50,77,64,2.973,10.293,-40,"[""forma""]",true,,sintetico_docente,1.0.0-demo
SIM-000100,platano_primero,platano,50,70,50,63,95,6.976,4.665,-20,"[""forma"",""contraste""]",true,,sintetico_docente,1.0.0-demo
SIM-000101,naranja_primero,naranja,90,90,50,43,67,4.830,6.940,-40,"[""forma""]",true,,sintetico_docente,1.0.0-demo
SIM-000102,naranja_primero,naranja,90,90,70,53,66,9.674,5.231,-20,"[""sin_clasificar""]",true,,sintetico_docente,1.0.0-demo
SIM-000103,platano_primero,platano,50,90,50,79,83,9.998,5.689,-40,"[""forma"",""contraste""]",true,,sintetico_docente,1.0.0-demo
SIM-000104,platano_primero,platano,50,90,50,61,76,6.023,5.700,-40,"[""forma"",""contraste""]",true,,sintetico_docente,1.0.0-demo
SIM-000105,naranja_primero,naranja,90,90,90,71,79,6.779,3.019,0,"[""forma"",""fisica"",""contraste""]",true,,sintetico_docente,1.0.0-demo
SIM-000106,platano_primero,platano,90,110,90,63,70,3.623,4.149,-20,"[""azar""]",true,,sintetico_docente,1.0.0-demo
SIM-000107,platano_primero,platano,50,90,50,90,64,11.016,9.675,-40,"[""forma""]",true,,sintetico_docente,1.0.0-demo
SIM-000108,platano_primero,platano,70,90,70,81,62,8.623,10.108,-20,"[""forma""]",true,,sintetico_docente,1.0.0-demo
SIM-000109,naranja_primero,naranja,110,110,90,60,87,5.702,11.286,-20,"[""forma""]",true,,sintetico_docente,1.0.0-demo
SIM-000110,naranja_primero,naranja,90,90,70,59,63,6.948,4.278,-20,"[""azar""]",true,,sintetico_docente,1.0.0-demo
SIM-000111,platano_primero,platano,50,90,50,77,72,6.800,4.370,-40,"[""sin_clasificar""]",true,,sintetico_docente,1.0.0-demo
SIM-000112,naranja_primero,naranja,90,90,70,61,46,10.723,11.962,-20,"[""fisica""]",true,,sintetico_docente,1.0.0-demo
SIM-000113,platano_primero,platano,70,90,70,68,53,14.762,8.810,-20,"[""forma""]",true,,sintetico_docente,1.0.0-demo
SIM-000114,naranja_primero,naranja,90,90,70,71,45,7.484,8.342,-20,"[""forma""]",true,,sintetico_docente,1.0.0-demo
SIM-000115,naranja_primero,naranja,90,90,70,57,61,9.094,1.123,-20,"[""sin_clasificar""]",false,tiempo_segunda_menor_2,sintetico_docente,1.0.0-demo
SIM-000116,platano_primero,platano,50,90,50,76,87,7.888,2.063,-40,"[""forma""]",true,,sintetico_docente,1.0.0-demo
SIM-000117,naranja_primero,naranja,70,70,70,66,79,4.348,9.798,0,"[""forma"",""contraste""]",true,,sintetico_docente,1.0.0-demo
SIM-000118,naranja_primero,naranja,90,90,90,64,79,7.542,6.770,0,"[""forma""]",true,,sintetico_docente,1.0.0-demo
SIM-000119,platano_primero,platano,50,90,50,87,74,5.410,5.601,-40,"[""forma""]",true,,sintetico_docente,1.0.0-demo
SIM-000120,platano_primero,platano,90,110,90,71,70,8.302,8.893,-20,"[""forma""]",true,,sintetico_docente,1.0.0-demo
SIM-000121,platano_primero,platano,50,90,50,80,66,5.826,2.745,-40,"[""forma""]",true,,sintetico_docente,1.0.0-demo
SIM-000122,naranja_primero,naranja,90,90,90,98,69,7.257,4.407,0,"[""azar""]",true,,sintetico_docente,1.0.0-demo
SIM-000123,naranja_primero,naranja,90,90,70,77,77,4.884,8.354,-20,"[""sin_clasificar""]",true,,sintetico_docente,1.0.0-demo
SIM-000124,platano_primero,platano,90,110,90,76,73,11.666,10.854,-20,"[""forma"",""fisica"",""contraste""]",true,,sintetico_docente,1.0.0-demo
SIM-000125,platano_primero,platano,110,110,110,68,79,3.979,9.346,0,"[""sin_clasificar""]",true,,sintetico_docente,1.0.0-demo
SIM-000126,naranja_primero,naranja,110,110,90,72,96,6.789,5.500,-20,"[""forma"",""contraste""]",true,,sintetico_docente,1.0.0-demo
SIM-000127,naranja_primero,naranja,90,90,90,80,91,5.347,7.959,0,"[""fisica""]",true,,sintetico_docente,1.0.0-demo
SIM-000128,platano_primero,platano,70,110,70,49,67,10.322,5.393,-40,"[""sin_clasificar""]",true,,sintetico_docente,1.0.0-demo
SIM-000129,naranja_primero,naranja,70,70,70,57,74,5.063,4.490,0,"[""sin_clasificar""]",true,,sintetico_docente,1.0.0-demo
SIM-000130,platano_primero,platano,90,110,90,66,86,6.273,5.527,-20,"[""forma""]",true,,sintetico_docente,1.0.0-demo
SIM-000131,platano_primero,platano,70,90,70,38,54,6.204,5.219,-20,"[""forma""]",true,,sintetico_docente,1.0.0-demo
SIM-000132,naranja_primero,naranja,110,110,50,74,56,7.950,5.755,-60,"[""fisica""]",true,,sintetico_docente,1.0.0-demo
SIM-000133,naranja_primero,naranja,90,90,70,79,63,9.969,6.190,-20,"[""azar""]",true,,sintetico_docente,1.0.0-demo
SIM-000134,platano_primero,platano,110,110,110,60,63,12.339,8.114,0,"[""forma""]",true,,sintetico_docente,1.0.0-demo
SIM-000135,naranja_primero,naranja,90,90,70,62,76,8.062,8.116,-20,"[""azar""]",true,,sintetico_docente,1.0.0-demo
SIM-000136,naranja_primero,naranja,90,90,50,76,72,6.445,5.675,-40,"[""azar""]",true,,sintetico_docente,1.0.0-demo
SIM-000137,platano_primero,platano,70,70,70,65,94,7.384,7.266,0,"[""sin_clasificar""]",true,,sintetico_docente,1.0.0-demo
SIM-000138,naranja_primero,naranja,110,110,90,49,78,1.196,8.691,-20,"[""forma""]",false,tiempo_primera_menor_2,sintetico_docente,1.0.0-demo
SIM-000139,platano_primero,platano,50,70,50,72,61,5.577,6.542,-20,"[""forma"",""contraste""]",true,,sintetico_docente,1.0.0-demo
SIM-000140,platano_primero,platano,70,110,70,74,70,7.946,7.034,-40,"[""forma""]",true,,sintetico_docente,1.0.0-demo
SIM-000141,platano_primero,platano,70,90,70,77,80,5.998,10.175,-20,"[""forma"",""contraste""]",true,,sintetico_docente,1.0.0-demo
SIM-000142,platano_primero,platano,70,90,70,69,65,8.631,6.467,-20,"[""forma""]",true,,sintetico_docente,1.0.0-demo
SIM-000143,naranja_primero,naranja,90,90,70,77,74,14.597,8.918,-20,"[""forma"",""contraste""]",true,,sintetico_docente,1.0.0-demo
SIM-000144,naranja_primero,naranja,90,90,90,60,49,5.472,8.409,0,"[""forma"",""contraste""]",true,,sintetico_docente,1.0.0-demo
SIM-000145,platano_primero,platano,70,90,70,94,65,12.355,4.672,-20,"[""forma"",""contraste""]",true,,sintetico_docente,1.0.0-demo
SIM-000146,naranja_primero,naranja,110,110,90,72,60,4.683,8.632,-20,"[""sin_clasificar""]",true,,sintetico_docente,1.0.0-demo
SIM-000147,platano_primero,platano,70,90,70,71,64,6.522,5.165,-20,"[""azar""]",true,,sintetico_docente,1.0.0-demo
SIM-000148,naranja_primero,naranja,70,70,50,75,55,4.824,9.511,-20,"[""forma""]",true,,sintetico_docente,1.0.0-demo
SIM-000149,naranja_primero,naranja,90,90,70,57,71,8.334,8.538,-20,"[""sin_clasificar""]",true,,sintetico_docente,1.0.0-demo
SIM-000150,platano_primero,platano,30,70,30,62,60,4.388,5.987,-40,"[""azar""]",true,,sintetico_docente,1.0.0-demo
SIM-000151,platano_primero,platano,90,90,90,81,58,8.295,10.014,0,"[""sin_clasificar""]",true,,sintetico_docente,1.0.0-demo
SIM-000152,naranja_primero,naranja,70,70,50,69,59,3.041,6.558,-20,"[""sin_clasificar""]",true,,sintetico_docente,1.0.0-demo
SIM-000153,naranja_primero,naranja,90,90,50,66,60,6.380,7.228,-40,"[""sin_clasificar""]",true,,sintetico_docente,1.0.0-demo
SIM-000154,naranja_primero,naranja,90,90,70,81,78,8.448,13.397,-20,"[""azar""]",true,,sintetico_docente,1.0.0-demo
SIM-000155,platano_primero,platano,90,90,90,51,81,7.691,1.269,0,"[""forma""]",false,tiempo_segunda_menor_2,sintetico_docente,1.0.0-demo
SIM-000156,platano_primero,platano,50,110,50,79,74,4.793,5.794,-60,"[""sin_clasificar""]",true,,sintetico_docente,1.0.0-demo
SIM-000157,naranja_primero,naranja,90,90,70,76,62,7.176,5.783,-20,"[""forma"",""fisica"",""contraste""]",true,,sintetico_docente,1.0.0-demo
SIM-000158,platano_primero,platano,70,110,70,83,54,9.165,11.051,-40,"[""forma""]",true,,sintetico_docente,1.0.0-demo
SIM-000159,naranja_primero,naranja,90,90,70,55,73,7.874,17.842,-20,"[""forma"",""contraste""]",true,,sintetico_docente,1.0.0-demo
SIM-000160,platano_primero,platano,90,110,90,54,70,12.415,8.353,-20,"[""azar""]",true,,sintetico_docente,1.0.0-demo
SIM-000161,naranja_primero,naranja,90,90,70,75,86,6.688,9.329,-20,"[""forma"",""contraste""]",true,,sintetico_docente,1.0.0-demo
SIM-000162,naranja_primero,naranja,90,90,70,79,87,8.893,9.666,-20,"[""sin_clasificar""]",true,,sintetico_docente,1.0.0-demo
SIM-000163,platano_primero,platano,70,50,70,66,72,6.190,5.198,20,"[""azar""]",true,,sintetico_docente,1.0.0-demo
SIM-000164,platano_primero,platano,90,90,90,71,66,5.155,3.246,0,"[""forma"",""contraste""]",true,,sintetico_docente,1.0.0-demo
SIM-000165,platano_primero,platano,30,70,30,76,79,8.305,7.505,-40,"[""fisica""]",true,,sintetico_docente,1.0.0-demo
SIM-000166,naranja_primero,naranja,50,50,50,49,86,6.864,9.035,0,"[""azar""]",true,,sintetico_docente,1.0.0-demo
SIM-000167,platano_primero,platano,70,110,70,78,82,10.905,5.737,-40,"[""forma""]",true,,sintetico_docente,1.0.0-demo
SIM-000168,naranja_primero,naranja,90,90,70,62,61,5.761,10.689,-20,"[""forma""]",true,,sintetico_docente,1.0.0-demo
SIM-000169,naranja_primero,naranja,70,70,70,64,67,8.347,4.127,0,"[""sin_clasificar""]",true,,sintetico_docente,1.0.0-demo
SIM-000170,platano_primero,platano,50,90,50,63,63,9.053,3.521,-40,"[""forma"",""contraste""]",true,,sintetico_docente,1.0.0-demo
SIM-000171,naranja_primero,naranja,90,90,90,71,78,9.763,5.387,0,"[""forma""]",true,,sintetico_docente,1.0.0-demo
SIM-000172,naranja_primero,naranja,110,110,90,66,81,10.205,8.327,-20,"[""forma"",""contraste""]",true,,sintetico_docente,1.0.0-demo
SIM-000173,platano_primero,platano,70,110,70,83,84,4.532,12.131,-40,"[""forma""]",true,,sintetico_docente,1.0.0-demo
SIM-000174,platano_primero,platano,50,70,50,71,44,6.424,4.283,-20,"[""forma""]",true,,sintetico_docente,1.0.0-demo
SIM-000175,naranja_primero,naranja,90,90,50,82,59,8.237,1.269,-40,"[""forma""]",false,tiempo_segunda_menor_2,sintetico_docente,1.0.0-demo
SIM-000176,naranja_primero,naranja,110,110,70,50,94,5.560,5.352,-40,"[""forma""]",true,,sintetico_docente,1.0.0-demo
SIM-000177,platano_primero,platano,70,70,70,57,58,11.534,5.389,0,"[""sin_clasificar""]",true,,sintetico_docente,1.0.0-demo
SIM-000178,naranja_primero,naranja,90,90,90,65,48,14.952,10.087,0,"[""sin_clasificar""]",true,,sintetico_docente,1.0.0-demo
SIM-000179,platano_primero,platano,50,90,50,62,67,7.951,9.521,-40,"[""fisica""]",true,,sintetico_docente,1.0.0-demo
SIM-000180,platano_primero,platano,70,90,70,53,96,18.620,10.130,-20,"[""forma"",""fisica"",""contraste""]",true,,sintetico_docente,1.0.0-demo
SIM-000181,naranja_primero,naranja,90,90,70,72,82,12.099,9.970,-20,"[""forma""]",true,,sintetico_docente,1.0.0-demo
SIM-000182,naranja_primero,naranja,70,70,50,70,72,10.151,9.256,-20,"[""sin_clasificar""]",true,,sintetico_docente,1.0.0-demo
SIM-000183,naranja_primero,naranja,110,110,70,77,79,6.512,10.089,-40,"[""forma"",""fisica"",""contraste""]",true,,sintetico_docente,1.0.0-demo
SIM-000184,platano_primero,platano,70,90,70,70,93,4.864,11.362,-20,"[""forma"",""contraste""]",true,,sintetico_docente,1.0.0-demo
SIM-000185,platano_primero,platano,90,110,90,77,81,17.017,4.093,-20,"[""sin_clasificar""]",true,,sintetico_docente,1.0.0-demo
SIM-000186,naranja_primero,naranja,90,90,30,68,67,5.947,8.593,-60,"[""fisica""]",true,,sintetico_docente,1.0.0-demo
SIM-000187,platano_primero,platano,70,90,70,60,85,8.788,7.943,-20,"[""forma"",""fisica"",""contraste""]",true,,sintetico_docente,1.0.0-demo
SIM-000188,naranja_primero,naranja,90,90,50,70,39,10.823,6.836,-40,"[""forma""]",true,,sintetico_docente,1.0.0-demo
SIM-000189,platano_primero,platano,70,110,70,69,77,1.342,7.309,-40,"[""forma""]",false,tiempo_primera_menor_2,sintetico_docente,1.0.0-demo
SIM-000190,platano_primero,platano,50,90,50,78,63,5.619,3.992,-40,"[""azar""]",true,,sintetico_docente,1.0.0-demo
SIM-000191,naranja_primero,naranja,90,90,70,75,90,8.026,11.786,-20,"[""forma"",""contraste""]",true,,sintetico_docente,1.0.0-demo
SIM-000192,naranja_primero,naranja,90,90,70,95,63,7.334,7.625,-20,"[""forma"",""contraste""]",true,,sintetico_docente,1.0.0-demo
SIM-000193,naranja_primero,naranja,90,90,70,52,46,5.309,8.805,-20,"[""forma"",""contraste""]",true,,sintetico_docente,1.0.0-demo
SIM-000194,platano_primero,platano,70,90,70,60,88,12.899,6.041,-20,"[""fisica""]",true,,sintetico_docente,1.0.0-demo
SIM-000195,naranja_primero,naranja,90,90,50,79,90,6.093,9.684,-40,"[""sin_clasificar""]",true,,sintetico_docente,1.0.0-demo
SIM-000196,platano_primero,platano,90,90,90,77,81,15.858,7.482,0,"[""forma""]",true,,sintetico_docente,1.0.0-demo
SIM-000197,naranja_primero,naranja,90,90,50,67,71,5.183,10.907,-40,"[""sin_clasificar""]",true,,sintetico_docente,1.0.0-demo
